310 METERS AT CRACKLE, (PRISM).  FEB 83 - JAN 84.  TAPE 1499/8.                 
1103,5,2,83,4.8,295,-4.4,2.0,-1.26,312.7,1
1203,5,2,83,5.9,295,-5.4,2.5,-1.39,312.7,2
1303,5,2,83,6.6,297,-5.9,3.0,-1.43,312.7,3
1403,5,2,83,6.3,299,-5.5,3.1,-1.41,312.7,4
1503,5,2,83,5.5,310,-4.2,3.5,-1.46,312.7,5
1603,5,2,83,4.3,323,-2.6,3.4,-1.44,312.7,6
1703,5,2,83,4.1,331,-2.0,3.6,-1.42,312.7,7
1803,5,2,83,3.6,331,-1.8,3.2,-1.52,312.7,8
1903,5,2,83,2.1,216,-1.2,-1.7,-1.43,312.7,9
2003,5,2,83,0.8,151,0.4,-0.7,-1.54,312.7,10
2103,5,2,83,2.5,160,0.8,-2.3,-1.54,312.7,11
2203,5,2,83,2.9,173,0.4,-2.9,-1.44,312.7,12
2303,5,2,83,3.5,169,0.7,-3.4,-1.49,312.7,13
3,6,2,83,3.8,178,0.1,-3.8,-1.36,312.7,14
103,6,2,83,5.4,178,0.2,-5.4,-1.44,312.7,15
203,6,2,83,5.8,173,0.7,-5.8,-1.34,312.7,16
303,6,2,83,5.3,177,0.3,-5.3,-1.37,312.7,17
403,6,2,83,5.2,180,0.0,-5.2,-1.46,312.7,18
503,6,2,83,5.3,184,-0.4,-5.3,-1.41,312.7,19
603,6,2,83,3.9,193,-0.9,-3.8,-1.60,312.7,20
703,6,2,83,1.7,243,-1.5,-0.8,-1.54,312.7,21
803,6,2,83,0.8,258,-0.7,-0.2,-1.55,312.7,22
903,6,2,83,1.7,270,-1.7,0.0,-1.58,312.7,23
1003,6,2,83,2.6,283,-2.6,0.6,-1.50,312.7,24
1103,6,2,83,3.4,293,-3.1,1.3,-1.42,312.7,25
1203,6,2,83,5.0,303,-4.2,2.7,-1.27,312.7,26
1303,6,2,83,5.2,306,-4.2,3.0,-1.36,312.7,27
1403,6,2,83,5.1,325,-2.9,4.2,-1.42,312.7,28
1503,6,2,83,6.3,325,-3.6,5.2,-1.45,312.7,29
1603,6,2,83,5.5,325,-3.2,4.5,-1.35,312.7,30
1703,6,2,83,4.4,328,-2.3,3.7,-1.33,312.7,31
1803,6,2,83,2.1,350,-0.4,2.0,-1.33,312.7,32
1903,6,2,83,1.5,12,0.3,1.5,-1.41,312.7,33
2003,6,2,83,0.8,43,0.5,0.5,-1.41,312.7,34
2103,6,2,83,1.7,94,1.7,-0.1,-1.46,312.7,35
2203,6,2,83,3.3,124,2.7,-1.8,-1.26,312.7,36
2303,6,2,83,4.2,154,1.8,-3.7,-1.33,312.7,37
3,7,2,83,5.4,168,1.1,-5.3,-1.45,312.7,38
